price,mileage,year,make,model,trim,distance from zip
"$36,500","15,950 mi.",2021,BMW,3-Series,"['4D', 'Sedan', '330xi']",delivers to 33186
"$3,000","136,634 mi.",2004,Pontiac,Grand,"['Am', 'GT']",(26 mi. from 33186)
"$10,500","123,000 mi.",2013,Volkswagen,Touareg,['Executive'],(26 mi. from 33186)
"$43,500","7,500 mi.",2016,Lexus,RC,"['F', '2D', 'Coupe']",delivers to 33186
"$10,000","135,000 mi.",2014,Lexus,IS,"['250', '4D', 'Sedan']",(26 mi. from 33186)
"$51,490","22,423 mi.",2022,Ford,F150,['Lariat'],(26 mi. from 33186)
"$59,990","20,717 mi.",2022,Ford,F150,"['Supercrew', '4WD', '145']",(26 mi. from 33186)
"$57,000","9,750 mi.",2023,Audi,e-tron,"['Premium', 'Plus', 'S-Line']",delivers to 33186
"$9,000","116,300 mi.",2020,Kia,Optima,"['4D', 'Sedan', 'LX']",delivers to 33186
"$10,000","105,424 mi.",2017,Toyota,Yaris,['L'],delivers to 33186
"$11,000","67,800 mi.",2019,Toyota,Corolla,"['4D', 'Sedan', 'at']",(18 mi. from 33186)
"$6,600","178,820 mi.",2014,Nissan,Murano,"['4D', 'SUV', 'FWD']",(26 mi. from 33186)
"$51,999","33,470 mi.",2022,Dodge,Charger,"['SCAT', 'PACK']",(26 mi. from 33186)
"$11,000","83,560 mi.",2002,Toyota,Tundra,['Limited'],(26 mi. from 33186)
"$10,000","101,000 mi.",2016,Toyota,Corolla,"['4D', 'Sedan', 'L']",(26 mi. from 33186)
"$7,000","83,000 mi.",2015,Nissan,Altima,"['4D', 'Sedan', '2.5']",(27 mi. from 33186)
"$9,500","156,000 mi.",2013,BMW,X3,"['X3', '4D', 'SUV']",(8 mi. from 33186)
"$48,500","7,603 mi.",2019,MERCEDES-BENZ,GLC-Class,"['4D', 'SEDAN', 'GLC']",delivers to 33186
"$10,000","66,000 mi.",2009,VOLKSWAGEN,New,"['Beetle', '2D', 'CONVERTIBLE']",(18 mi. from 33186)
"$7,800","128,896 mi.",2012,INFINITI,G37,"['2D', 'COUPE']",(18 mi. from 33186)
"$15,000","14,700 mi.",2021,VOLKSWAGEN,Tiguan,"['4D', 'SUV', 'S']",delivers to 33186
"$17,500","81,000 mi.",2017,HONDA,Civic,['EXL'],delivers to 33186
"$18,200","99,460 mi.",2011,BMW,1-Series,"['135i', 'M', 'sport']",(18 mi. from 33186)
"$14,500","47,431 mi.",2015,HONDA,Civic,"['LX', 'Coupe', 'CVT']",(26 mi. from 33186)
Inquire,None,2024,Mazda,CX-30,"['2.5', 'S', 'Carbon']",delivers to 33186
Inquire,None,2024,Mazda,CX-30,"['2.5', 'S', 'Carbon']",delivers to 33186
